Records,Type,Value,
academyforlife.va,MX,mx11.vatican.va,
academyforlife.va,MX,mx12.vatican.va,
academyforlife.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
accreditamenti.salastampa.va,A,185.152.70.143,
acdf.va,MX,mx11.vatican.va,
acdf.va,MX,mx12.vatican.va,
acdf.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
acdlife.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
acdscience.va,MX,mx11.vatican.va,
acdscience.va,MX,mx12.vatican.va,
acdscience.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
acdscsoc.va,MX,mx11.vatican.va,
acdscsoc.va,MX,mx12.vatican.va,
acdscsoc.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
adtempus.va,MX,mx11.vatican.va,
adtempus.va,MX,mx12.vatican.va,
adtempus.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
adv.rv.va,A,185.152.70.45,
aif.va,MX,mx11.vatican.va,
aif.va,MX,mx12.vatican.va,
aif.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
alleluia.vatican.va,CNAME,michael.vatican.va.,
americalatina.va,MX,mx11.vatican.va,
americalatina.va,MX,mx12.vatican.va,
americalatina.va,TXT,google-site-verification=OZfMLh3i3SsK2cVmBpTLYk7QzTmgOBD0ETviqzVAnYk,
americalatina.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
analytics.catholica.va,A,212.77.4.66,
analytics.spc.va,CNAME,rvproxy-inter.spc.va.,
andrea.spc.va,A,185.152.69.154,
annusfidei.va,MX,mx11.vatican.va,
annusfidei.va,MX,mx12.vatican.va,
annusfidei.va,TXT,google-site-verification=zLWpc9c86MP5E_LYAfZI7EBe4lmB2g6PyMaVe4hUFQ8,
annusfidei.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
aod-01.vaticanmedia.va,CNAME,aod.vaticanmedia.va.,
aod-02.vaticanmedia.va,CNAME,aod.vaticanmedia.va.,
aod.vaticanmedia.va,A,185.152.70.116,
aod.vaticanmedia.va,A,185.152.70.116,
aoip-01.vaticanmedia.va,A,185.152.70.71,
aoip-01.vaticanmedia.va,A,185.152.70.71,
aoip-02.vaticanmedia.va,CNAME,aoip-01.vaticanmedia.va.,
apostpnt.va,MX,mx11.vatican.va,
apostpnt.va,MX,mx12.vatican.va,
apostpnt.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
apps.va,CNAME,iwc2.vatican.va,
apsa.va,MX,mx11.vatican.va,
apsa.va,MX,mx12.vatican.va,
apsa.va,TXT,_globalsign-domain-verification=Ih8Cx245SNj9BhKyR7s8-FBxMs5omylpPn9VN_R-bl,
apsa.va,TXT,MS=F03397A033B79B8B41CCC0AC43DC11911BFA2D22,
apsa.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
archivioapostolicovaticano.va,TXT,_globalsign-domain-verification=sSjDEpwa78DaOOrSRnrOmjg-BZnSAaQk8j-0-DMltY,
archivioradiovaticana.va,NS,ns-ext-01.spc.va,
archivioradiovaticana.va,NS,ns-ext-02.spc.va,
archivioradiovaticana.va,NS,spc03.glauco.it,
archivioradiovaticana.va,SOA,ns-ext-01.spc.va. hostmaster.spc.va. 202009010 900 1814400 10800,
archiviostoricopropaganda.va,MX,mx11.vatican.va,
archiviostoricopropaganda.va,MX,mx12.vatican.va,
archiviostoricopropaganda.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
arcsacra.va,MX,mx11.vatican.va,
arcsacra.va,MX,mx12.vatican.va,
arcsacra.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
asv.va,MX,mx11.vatican.va,
asv.va,MX,mx12.vatican.va,
asv.vatican.va,CNAME,cu-disp.spc.va,
attualita.vatican.va,CNAME,irvp-98.catholica.va,
autodiscover.catholica-stg.va,CNAME,imta.catholica-stg.va.,
autodiscover.catholica.va,CNAME,imta.vatican.va,
autodiscover.cloud.va,CNAME,imta.vatican.va,
autodiscover.evang.va,CNAME,mail.evang.va.,
autodiscover.museivaticani.va,CNAME,imta.vatican.va,
autodiscover.net.va,CNAME,imta.vatican.va,
autodiscover.oessh.va,CNAME,imta.vatican.va,
autodiscover.spc.va,CNAME,mail.spc.va.,
autodiscover.ufn.va,CNAME,imta.vatican.va,
autodiscover.ulsa.va,CNAME,imta.vatican.va,
autodiscover.vatican-stg.va,CNAME,imta.vatican.va.,
autodiscover.vatican.va,CNAME,imta.vatican.va,
autodiscover.vaticanstate.va,CNAME,imta.vatican.va,
autodiscover.wyd.va,CNAME,imta.vatican.va,
avepro.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
avsfb.sigri.va,A,212.77.4.159,
avsfb.sigri.va,A,212.77.4.154,
bartolomeo.spc.va,A,185.152.69.139,
basilicasantantonio.va,MX,mx11.vatican.va,
basilicasantantonio.va,MX,mx12.vatican.va,
basilicasantantonio.va,TXT,google-site-verification=E3buntcwgsCNkQwfcpbCc8Axt-myxqTCZB1WzpIV5uk,
basilicasantantonio.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
bav.vatican.va,CNAME,www.vaticanlibrary.va.,
benedettoxvi.va,CNAME,www.vatican.va,
benedictumxvi.va,CNAME,www.vatican.va,
beneficenza.vatican.va,A,212.77.4.141,
beta.spc.va,CNAME,rvproxy-inter.spc.va.,
biglietteriamusei.vatican-stg.va,A,212.77.4.101,
biglietteriamusei.vatican-stg.va,A,212.77.4.101,
biglietteriamusei.vatican.va,A,212.77.4.102,
bollettino.vatican.va,CNAME,iwd2.vatican.va,
box-stg.museivaticani.va,CNAME,idispatcher-staging.catholica.va,
box.museivaticani.va,CNAME,mv-disp.spc.va,
c-stg.vatican.va,CNAME,wcm-stg.catholica.va,
c.vatican-stg.va,CNAME,iwc2.vatican-stg.va.,
c.vatican.va,CNAME,wcm-disp.spc.va,
capillasixtina.va,CNAME,mv.vatican.va,
cappellamusicalepontificia.va,MX,mx11.vatican.va,
cappellamusicalepontificia.va,MX,mx12.vatican.va,
cappellamusicalepontificia.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cappellasistina.va,MX,mx11.vatican.va,
cappellasistina.va,MX,mx12.vatican.va,
cappellasistina.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
caritas.va,MX,smtp-out.caritas.va,
caritas.va,TXT,v=spf1 ip4:212.77.12.118 ~all,
casinapioiv.va,TXT,google-site-verification=e4p_-naXXCJE7zCZYQJ7873T_zmaa3pqEB4FDu1IZlI,
catalogo.museivaticani.va,A,212.77.4.16,
catholica.va,MX,mx11.vatican.va,
catholica.va,MX,mx12.vatican.va,
catholica.va,TXT,_globalsign-domain-verification=-net4Xb86uw4CT-_9D11PrWu6BqnXHmwlnFYtnKKbN,
catholica.va,TXT,google-site-verification=YP698PQYi1UpFbCOGR-7vW8HG2ruulGWblf4BK-cDXg,
catholica.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
causesanti.va,MX,mx11.vatican.va,
causesanti.va,MX,mx12.vatican.va,
causesanti.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cbishops.va,MX,mx11.vatican.va,
cbishops.va,MX,mx12.vatican.va,
cbishops.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ccatheduc.va,MX,mx11.vatican.va,
ccatheduc.va,MX,mx12.vatican.va,
ccatheduc.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ccdds.va,MX,mx11.vatican.va,
ccdds.va,MX,mx12.vatican.va,
ccdds.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cclergy.va,MX,mx11.vatican.va,
cclergy.va,MX,mx12.vatican.va,
cclergy.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ccscrlife.va,MX,mx11.vatican.va,
ccscrlife.va,MX,mx12.vatican.va,
ccscrlife.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cdf.va,MX,mx11.vatican.va,
cdf.va,MX,mx12.vatican.va,
cdf.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cdn-va-disp.spc.va,A,185.152.70.34,
cec.va,MX,mx11.vatican.va,
cec.va,MX,mx12.vatican.va,
celebra.va,MX,mx11.vatican.va,
celebra.va,MX,mx12.vatican.va,
celebra.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cfaith.va,MX,mx11.vatican.va,
cfaith.va,MX,mx12.vatican.va,
cfaith.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cfn.va,MX,mx11.vatican.va,
cfn.va,MX,mx12.vatican.va,
cfn.va,TXT,_globalsign-domain-verification=yFbch6Ln1RLDdPuH7K1ppDuC9mLEcv5Eq3NnntgVx6,
cfn.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
chapellesixtine.va,CNAME,mv.vatican.va,
christianunity.va,MX,mx11.vatican.va,
christianunity.va,MX,mx12.vatican.va,
christianunity.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
chrstuni.va,MX,mx11.vatican.va,
chrstuni.va,MX,mx12.vatican.va,
chrstuni.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
ciam.va,MX,mx11.vatican.va,
ciam.va,MX,mx12.vatican.va,
ciam.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
civpn.caritas.va,A,212.77.12.117,
clerus.va,MX,mx11.vatican.va,
clerus.va,MX,mx12.vatican.va,
clerus.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cms-disp-s.spc.va,A,185.152.70.105,
cms-disp.spc.va,A,185.152.70.101,
cms-disp.spc.va,A,185.152.70.101,
cms-ior.spc.va,A,185.152.70.61,
cnewa-pmp.va,MX,mx11.vatican.va,
cnewa-pmp.va,MX,mx12.vatican.va,
cnewa-pmp.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cod-inblu-01.spc.va,A,185.152.70.98,
cod-inblu-02.spc.va,A,185.152.70.99,
com.va,MX,mx11.vatican.va,
com.va,MX,mx12.vatican.va,
com.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
conference.spc.va,A,185.152.70.160,
congressieucaristici.va,MX,mx11.vatican.va,
congressieucaristici.va,MX,mx12.vatican.va,
congressieucaristici.va,TXT,google-site-verification=KIVN8A1pRA3XRJwHbBsLNpBGNXzLK1qJBPq6Q6LPw4o,
congressieucaristici.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
corunum.va,MX,mx11.vatican.va,
corunum.va,MX,mx12.vatican.va,
corunum.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cp-inter.catholica.va,A,212.77.2.184,
csaints.va,MX,mx11.vatican.va,
csaints.va,MX,mx12.vatican.va,
csaints.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
csp.va,MX,mx11.vatican.va,
csp.va,MX,mx12.vatican.va,
csp.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cspietro.va,MX,mx11.vatican.va,
cspietro.va,MX,mx12.vatican.va,
cu-disp-s.spc.va,A,185.152.70.106,
cu-disp.spc.va,A,185.152.70.30,
cu-disp.spc.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cu-disp.spc.va,A,185.152.70.30,
cultr.va,MX,mx11.vatican.va,
cultr.va,MX,mx12.vatican.va,
cultr.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cultura.va,MX,mx11.vatican.va,
cultura.va,MX,mx12.vatican.va,
cultura.va,TXT,google-site-verification=z6OIhKi-IbE9WxufCzUmKrbsfQfy2oo8B8W5ClJwIHM,
cultura.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
culturalpatrimony.va,MX,mx11.vatican.va,
culturalpatrimony.va,MX,mx12.vatican.va,
culturalpatrimony.va,TXT,v=spf1 ip4:212.77.4.23 ip4:212.77.4.24 ip4:212.77.4.25 ip4:212.77.4.26 ~all,
cust-212-77-12-105.ias.va,A,212.77.12.105,
cust-212-77-12-107.ias.va,A,212.77.12.107,
cust-212-77-12-108.ias.va,A,212.77.12.108,
cust-212-77-12-109.ias.va,A,212.77.12.109,
cust-212-77-12-11.ias.va,A,212.77.12.11,
cust-212-77-12-110.ias.va,A,212.77.12.110,
cust-212-77-12-111.ias.va,A,212.77.12.111,
cust-212-77-12-114.ias.va,A,212.77.12.114,
cust-212-77-12-115.ias.va,A,212.77.12.115,
cust-212-77-12-119.ias.va,A,212.77.12.119,
cust-212-77-12-120.ias.va,A,212.77.12.120,
cust-212-77-12-125.ias.va,A,212.77.12.125,
cust-212-77-12-126.ias.va,A,212.77.12.126,
cust-212-77-12-13.ias.va,A,212.77.12.13,
cust-212-77-12-130.ias.va,A,212.77.12.130,
cust-212-77-12-132.ias.va,A,212.77.12.132,
cust-212-77-12-133.ias.va,A,212.77.12.133,
cust-212-77-12-135.ias.va,A,212.77.12.135,
cust-212-77-12-136.ias.va,A,212.77.12.136,
cust-212-77-12-137.ias.va,A,212.77.12.137,
cust-212-77-12-14.ias.va,A,212.77.12.14,
cust-212-77-12-140.ias.va,A,212.77.12.140,
cust-212-77-12-142.ias.va,A,212.77.12.142,
cust-212-77-12-143.ias.va,A,212.77.12.143,
cust-212-77-12-145.ias.va,A,212.77.12.145,
cust-212-77-12-147.ias.va,A,212.77.12.147,
cust-212-77-12-148.ias.va,A,212.77.12.148,
cust-212-77-12-149.ias.va,A,212.77.12.149,
cust-212-77-12-15.ias.va,A,212.77.12.15,
cust-212-77-12-150.ias.va,A,212.77.12.150,
cust-212-77-12-151.ias.va,A,212.77.12.151,
cust-212-77-12-152.ias.va,A,212.77.12.152,
cust-212-77-12-153.ias.va,A,212.77.12.153,
cust-212-77-12-154.ias.va,A,212.77.12.154,
cust-212-77-12-155.ias.va,A,212.77.12.155,
cust-212-77-12-157.ias.va,A,212.77.12.157,
cust-212-77-12-159.ias.va,A,212.77.12.159,
cust-212-77-12-16.ias.va,A,212.77.12.16,
cust-212-77-12-160.ias.va,A,212.77.12.160,
cust-212-77-12-161.ias.va,A,212.77.12.161,
cust-212-77-12-162.ias.va,A,212.77.12.162,
cust-212-77-12-163.ias.va,A,212.77.12.163,
cust-212-77-12-166.ias.va,A,212.77.12.166,
cust-212-77-12-167.ias.va,A,212.77.12.167,
cust-212-77-12-170.ias.va,A,212.77.12.170,
cust-212-77-12-176.ias.va,A,212.77.12.176,
cust-212-77-12-179.ias.va,A,212.77.12.179,
cust-212-77-12-18.ias.va,A,212.77.12.18,
cust-212-77-12-182.ias.va,A,212.77.12.182,
cust-212-77-12-183.ias.va,A,212.77.12.183,
cust-212-77-12-186.ias.va,A,212.77.12.186,
cust-212-77-12-187.ias.va,A,212.77.12.187,
cust-212-77-12-189.ias.va,A,212.77.12.189,
cust-212-77-12-191.ias.va,A,212.77.12.191,
cust-212-77-12-192.ias.va,A,212.77.12.192,
cust-212-77-12-193.ias.va,A,212.77.12.193,
cust-212-77-12-199.ias.va,A,212.77.12.199,
cust-212-77-12-200.ias.va,A,212.77.12.200,
cust-212-77-12-202.ias.va,A,212.77.12.202,
cust-212-77-12-205.ias.va,A,212.77.12.205,
cust-212-77-12-21.ias.va,A,212.77.12.21,
cust-212-77-12-210.ias.va,A,212.77.12.210,
cust-212-77-12-211.ias.va,A,212.77.12.211,
cust-212-77-12-213.ias.va,A,212.77.12.213,
cust-212-77-12-214.ias.va,A,212.77.12.214,
cust-212-77-12-215.ias.va,A,212.77.12.215,
cust-212-77-12-217.ias.va,A,212.77.12.217,
cust-212-77-12-218.ias.va,A,212.77.12.218,
cust-212-77-12-219.ias.va,A,212.77.12.219,
cust-212-77-12-22.ias.va,A,212.77.12.22,
cust-212-77-12-220.ias.va,A,212.77.12.220,
cust-212-77-12-221.ias.va,A,212.77.12.221,
cust-212-77-12-222.ias.va,A,212.77.12.222,
cust-212-77-12-225.ias.va,A,212.77.12.225,
cust-212-77-12-228.ias.va,A,212.77.12.228,
cust-212-77-12-229.ias.va,A,212.77.12.229,
cust-212-77-12-23.ias.va,A,212.77.12.23,
cust-212-77-12-230.ias.va,A,212.77.12.230,
cust-212-77-12-233.ias.va,A,212.77.12.233,
cust-212-77-12-234.ias.va,A,212.77.12.234,
cust-212-77-12-235.ias.va,A,212.77.12.235,
cust-212-77-12-236.ias.va,A,212.77.12.236,
cust-212-77-12-24.ias.va,A,212.77.12.24,
cust-212-77-12-240.ias.va,A,212.77.12.240,
cust-212-77-12-242.ias.va,A,212.77.12.242,
cust-212-77-12-244.ias.va,A,212.77.12.244,
cust-212-77-12-245.ias.va,A,212.77.12.245,
cust-212-77-12-248.ias.va,A,212.77.12.248,
cust-212-77-12-249.ias.va,A,212.77.12.249,
cust-212-77-12-25.ias.va,A,212.77.12.25,
cust-212-77-12-250.ias.va,A,212.77.12.250,
cust-212-77-12-251.ias.va,A,212.77.12.251,
cust-212-77-12-252.ias.va,A,212.77.12.252,
cust-212-77-12-254.ias.va,A,212.77.12.254,
cust-212-77-12-26.ias.va,A,212.77.12.26,
cust-212-77-12-27.ias.va,A,212.77.12.27,
cust-212-77-12-28.ias.va,A,212.77.12.28,
cust-212-77-12-31.ias.va,A,212.77.12.31,
cust-212-77-12-32.ias.va,A,212.77.12.32,
cust-212-77-12-33.ias.va,A,212.77.12.33,
cust-212-77-12-34.ias.va,A,212.77.12.34,
cust-212-77-12-36.ias.va,A,212.77.12.36,
cust-212-77-12-37.ias.va,A,212.77.12.37,
cust-212-77-12-39.ias.va,A,212.77.12.39,
cust-212-77-12-42.ias.va,A,212.77.12.42,
cust-212-77-12-43.ias.va,A,212.77.12.43,
cust-212-77-12-44.ias.va,A,212.77.12.44,
cust-212-77-12-45.ias.va,A,212.77.12.45,
cust-212-77-12-46.ias.va,A,212.77.12.46,
cust-212-77-12-47.ias.va,A,212.77.12.47,
cust-212-77-12-48.ias.va,A,212.77.12.48,
cust-212-77-12-5.ias.va,A,212.77.12.5,
cust-212-77-12-50.ias.va,A,212.77.12.50,
cust-212-77-12-51.ias.va,A,212.77.12.51,
cust-212-77-12-52.ias.va,A,212.77.12.52,
cust-212-77-12-54.ias.va,A,212.77.12.54,
cust-212-77-12-55.ias.va,A,212.77.12.55,
cust-212-77-12-56.ias.va,A,212.77.12.56,
cust-212-77-12-57.ias.va,A,212.77.12.57,
cust-212-77-12-58.ias.va,A,212.77.12.58,
cust-212-77-12-59.ias.va,A,212.77.12.59,
cust-212-77-12-61.ias.va,A,212.77.12.61,
cust-212-77-12-63.ias.va,A,212.77.12.63,
cust-212-77-12-64.ias.va,A,212.77.12.64,
cust-212-77-12-66.ias.va,A,212.77.12.66,
cust-212-77-12-67.ias.va,A,212.77.12.67,
cust-212-77-12-68.ias.va,A,212.77.12.68,
cust-212-77-12-69.ias.va,A,212.77.12.69,
cust-212-77-12-70.ias.va,A,212.77.12.70,
cust-212-77-12-71.ias.va,A,212.77.12.71,
cust-212-77-12-72.ias.va,A,212.77.12.72,
cust-212-77-12-74.ias.va,A,212.77.12.74,
cust-212-77-12-75.ias.va,A,212.77.12.75,
cust-212-77-12-78.ias.va,A,212.77.12.78,
cust-212-77-12-79.ias.va,A,212.77.12.79,
cust-212-77-12-81.ias.va,A,212.77.12.81,
cust-212-77-12-82.ias.va,A,212.77.12.82,
cust-212-77-12-89.ias.va,A,212.77.12.89,
cust-212-77-12-9.ias.va,A,212.77.12.9,
cust-212-77-12-90.ias.va,A,212.77.12.90,
cust-212-77-12-91.ias.va,A,212.77.12.91,
cust-212-77-12-92.ias.va,A,212.77.12.92,
cust-212-77-12-93.ias.va,A,212.77.12.93,
cust-212-77-12-95.ias.va,A,212.77.12.95,
cust-212-77-12-97.ias.va,A,212.77.12.97,
cust-212-77-12-98.ias.va,A,212.77.12.98,
cust-212-77-12-99.ias.va,A,212.77.12.99,
cust-212-77-3-1.ias.va,A,212.77.3.1,
cust-212-77-3-102.ias.va,A,212.77.3.102,
cust-212-77-3-104.ias.va,A,212.77.3.104,
cust-212-77-3-105.ias.va,A,212.77.3.105,
cust-212-77-3-106.ias.va,A,212.77.3.106,
cust-212-77-3-108.ias.va,A,212.77.3.108,
cust-212-77-3-109.ias.va,A,212.77.3.109,
cust-212-77-3-110.ias.va,A,212.77.3.110,
cust-212-77-3-111.ias.va,A,212.77.3.111,
cust-212-77-3-113.ias.va,A,212.77.3.113,
cust-212-77-3-116.ias.va,A,212.77.3.116,
cust-212-77-3-118.ias.va,A,212.77.3.118,
cust-212-77-3-119.ias.va,A,212.77.3.119,
cust-212-77-3-12.ias.va,A,212.77.3.12,
cust-212-77-3-121.ias.va,A,212.77.3.121,
cust-212-77-3-124.ias.va,A,212.77.3.124,
cust-212-77-3-125.ias.va,A,212.77.3.125,
cust-212-77-3-127.ias.va,A,212.77.3.127,
cust-212-77-3-128.ias.va,A,212.77.3.128,
cust-212-77-3-129.ias.va,A,212.77.3.129,
cust-212-77-3-132.ias.va,A,212.77.3.132,
cust-212-77-3-134.ias.va,A,212.77.3.134,
cust-212-77-3-135.ias.va,A,212.77.3.135,
cust-212-77-3-136.ias.va,A,212.77.3.136,
cust-212-77-3-137.ias.va,A,212.77.3.137,
cust-212-77-3-138.ias.va,A,212.77.3.138,
cust-212-77-3-139.ias.va,A,212.77.3.139,
cust-212-77-3-14.ias.va,A,212.77.3.14,
cust-212-77-3-140.ias.va,A,212.77.3.140,
cust-212-77-3-141.ias.va,A,212.77.3.141,
cust-212-77-3-142.ias.va,A,212.77.3.142,
cust-212-77-3-147.ias.va,A,212.77.3.147,
cust-212-77-3-150.ias.va,A,212.77.3.150,
cust-212-77-3-151.ias.va,A,212.77.3.151,
cust-212-77-3-152.ias.va,A,212.77.3.152,
cust-212-77-3-153.ias.va,A,212.77.3.153,
cust-212-77-3-155.ias.va,A,212.77.3.155,
cust-212-77-3-157.ias.va,A,212.77.3.157,
cust-212-77-3-159.ias.va,A,212.77.3.159,
cust-212-77-3-16.ias.va,A,212.77.3.16,
cust-212-77-3-160.ias.va,A,212.77.3.160,
cust-212-77-3-163.ias.va,A,212.77.3.163,
cust-212-77-3-164.ias.va,A,212.77.3.164,
cust-212-77-3-166.ias.va,A,212.77.3.166,
cust-212-77-3-167.ias.va,A,212.77.3.167,
cust-212-77-3-168.ias.va,A,212.77.3.168,
cust-212-77-3-172.ias.va,A,212.77.3.172,
cust-212-77-3-174.ias.va,A,212.77.3.174,
cust-212-77-3-176.ias.va,A,212.77.3.176,
cust-212-77-3-177.ias.va,A,212.77.3.177,
cust-212-77-3-179.ias.va,A,212.77.3.179,
cust-212-77-3-180.ias.va,A,212.77.3.180,
cust-212-77-3-181.ias.va,A,212.77.3.181,
cust-212-77-3-182.ias.va,A,212.77.3.182,
cust-212-77-3-184.ias.va,A,212.77.3.184,
cust-212-77-3-185.ias.va,A,212.77.3.185,
cust-212-77-3-186.ias.va,A,212.77.3.186,
cust-212-77-3-189.ias.va,A,212.77.3.189,
cust-212-77-3-19.ias.va,A,212.77.3.19,
cust-212-77-3-192.ias.va,A,212.77.3.192,
cust-212-77-3-193.ias.va,A,212.77.3.193,
cust-212-77-3-194.ias.va,A,212.77.3.194,
cust-212-77-3-195.ias.va,A,212.77.3.195,
cust-212-77-3-198.ias.va,A,212.77.3.198,
cust-212-77-3-199.ias.va,A,212.77.3.199,
cust-212-77-3-201.ias.va,A,212.77.3.201,
cust-212-77-3-204.ias.va,A,212.77.3.204,
cust-212-77-3-206.ias.va,A,212.77.3.206,
cust-212-77-3-209.ias.va,A,212.77.3.209,
cust-212-77-3-212.ias.va,A,212.77.3.212,
cust-212-77-3-213.ias.va,A,212.77.3.213,
cust-212-77-3-214.ias.va,A,212.77.3.214,
cust-212-77-3-216.ias.va,A,212.77.3.216,
cust-212-77-3-217.ias.va,A,212.77.3.217,
cust-212-77-3-218.ias.va,A,212.77.3.218,
cust-212-77-3-22.ias.va,A,212.77.3.22,
cust-212-77-3-223.ias.va,A,212.77.3.223,
cust-212-77-3-224.ias.va,A,212.77.3.224,
cust-212-77-3-227.ias.va,A,212.77.3.227,
cust-212-77-3-230.ias.va,A,212.77.3.230,
cust-212-77-3-231.ias.va,A,212.77.3.231,
cust-212-77-3-232.ias.va,A,212.77.3.232,
cust-212-77-3-233.ias.va,A,212.77.3.233,
cust-212-77-3-234.ias.va,A,212.77.3.234,
cust-212-77-3-235.ias.va,A,212.77.3.235,
cust-212-77-3-239.ias.va,A,212.77.3.239,
cust-212-77-3-24.ias.va,A,212.77.3.24,
cust-212-77-3-242.ias.va,A,212.77.3.242,
cust-212-77-3-243.ias.va,A,212.77.3.243,
cust-212-77-3-244.ias.va,A,212.77.3.244,
cust-212-77-3-246.ias.va,A,212.77.3.246,
cust-212-77-3-247.ias.va,A,212.77.3.247,
cust-212-77-3-248.ias.va,A,212.77.3.248,
cust-212-77-3-249.ias.va,A,212.77.3.249,
cust-212-77-3-250.ias.va,A,212.77.3.250,
cust-212-77-3-27.ias.va,A,212.77.3.27,
cust-212-77-3-29.ias.va,A,212.77.3.29,
cust-212-77-3-32.ias.va,A,212.77.3.32,
